,Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Blink Strength,Event Id,Event Date,Event Duration,Band 0.00 - 70.00
34,0.06640625,1,18.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,42657.51234139479
35,0.068359375,1,17.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,36090.407780318936
36,0.0703125,1,18.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,26229.321890036917
37,0.072265625,1,2.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,15447.418578334968
38,0.07421875,1,412.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,14047.297348017615
39,0.076171875,1,1145.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,31976.769763715933
40,0.078125,1,1797.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,20925.539940765466
41,0.080078125,1,2047.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,5138.097654744885
42,0.08203125,1,2047.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,37496.15612721545
43,0.083984375,1,1996.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,23277.31059204946
44,0.0859375,1,1876.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,31934.271809568065
45,0.087890625,1,1724.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10601.212982908268
46,0.08984375,1,1496.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,28687.256854532978
